UniversityID,Country,State/Province,BuildingID,BuildingName,Size,Type,BuiltYear,FCI (facility condition index),CRV (current replacement value),DMC (deferred maintenance cost),SystemCode,SystemDescription,SubsystemCode,SubsystemDescription,DescriptiveCode,ComponentDescription,WOID,WODescription,WOPriority,WOStartDate,WOEndDate,WODuration,PPM/UPM,LaborCost,MaterialCost,OtherCost,TotalCost,LaborHours,MinTemp.(°C),MaxTemp.(°C),Atmospheric pressure(hPa),Humidity(%),WindSpeed(m/s),WindDegree,Precipitation(mm),Snow(mm),Cloudness(%)
11,USA,Oklahoma,69,NOBLE RESEARCH CENTER,,,1988.0,,,,D30,HVAC,D3060,Controls and Instrumentation,D3060THE,Thermostat,19-0341230,RM 010 IS TOO COLD.,,2019-01-07,,,UPM,45.93,0.0,,45.93,1.5,15.319583333333332,17.207083333333333,1009.25,60.833333333333336,5.292916666666665,,0.0,0.0,
2,USA,California,82,,,,,,,,E10,Equipment,E1030,Vehicular Equipment,E1030VEH,General Vehicular Equipment,TRNSGRD20206325,MTR POOL: ROAD CALL,4-ROUTINE,2020-03-11 08:36:00,2020-03-11 12:17:00,0.0,PPM,67.86,0.0,,67.86,1.17,13.835833333333332,18.670416666666664,1015.6666666666666,76.75,2.228333333333333,104.33333333333331,3.1100000000000003,0.0,68.54166666666667
11,USA,Oklahoma,9,DONALD W. REYNOLDS SCHOOL OF ARCHITECTURE,,,1919.0,,,,B30,Roofing,B3010,Roof Converings,B3010COR,Concrete Roof,20-0379217,"THERE IS A WATER LEAK ON THE SECOND FLOOR, EAST WING, RIGHT ABOUT CENTER. PLEASE CHECK OUT. ** PITCH ROOF TO FLAT ROOF WATER IS DRIPPING OFF OF BEAMS PLACE BUCKET UNDER WATER**",,2019-08-23,,,UPM,0.0,0.0,,0.0,0.0,22.42416666666666,25.00666666666666,1008.5416666666666,83.33333333333333,3.837499999999999,,37.99,0.0,
3,USA,Alaska,FS314,,,,,,,,D30,HVAC,D3030,Cooling Generation Systems,D3030CHP,Chilled Water Primary Pump,UAF17-0020687,GRUENING CHILLED WATER SYS PRE-STARTUP,4-PLANNED,2017-03-13 08:20:10.633,,,PPM,4542.5,464.04,0.0,5006.54,57.5,-24.364999999999995,-19.69083333333333,1012.9166666666666,72.79166666666667,0.8354166666666664,59.16666666666666,0.0,0.0,31.666666666666668
11,USA,Oklahoma,69,NOBLE RESEARCH CENTER,,,1988.0,,,,C10,Interior Construction,C1020,Interior Doors,C1020DRH,Door Hardware,15-0137167,"PROBLEMS WITH KEYS WORKING CORRECTLY IN LOCK OF THE DOOR ENTERING THE LAB OF DR. RAMANJULU SUNKAR, 359 NRC.",,2015-03-17,,,UPM,25.61,0.0,,25.61,0.75,13.894166666666663,18.380416666666665,1018.875,52.958333333333336,5.170833333333335,,0.32,0.0,
3,USA,Alaska,FP04D,,,,,,,,,Unclassified,,Unclassified,,Unclassified,UAF09-0010061,NENANA LOT: REPAIR HBO'S ON ROW D-2-4,3-EXPEDITED,2008-10-29,,,,34.0,0.0,0.0,34.0,0.5,-22.89166666666667,-16.780416666666667,1008.25,83.04166666666667,0.0625,1.6666666666666667,0.0,0.0,25.58333333333333
3,USA,Alaska,FS732,,,,,,,,D50,Electrical,D5090,Other Electrical Systems,D5090BAT,"Battery, UPS",UAF11-0002561,PENTHOUSE: CHECK BATTERIES FOR REPEATER PRINTED29JULPLD.,3-EXPEDITED,2010-07-29,,,PPM,364.5,0.0,0.0,364.5,4.5,14.316250000000002,16.115416666666665,1013.5,68.79166666666667,1.5166666666666668,102.91666666666669,0.0,0.0,83.54166666666667
11,USA,Oklahoma,39,MCELROY HALL,,,1949.0,,,,,Unclassified,,Unclassified,,Unclassified,18-0299292,100.01 MAIN BOTH LOBBY ENTRANCE AND ROOM 127 -TERMITES FLYING AROUND THESE AREAS . PEST CONTROL  URGENT,,2018-04-26,,,UPM,15.12,0.0,,15.12,0.5,10.159166666666666,11.753333333333336,1017.3333333333334,71.125,2.512916666666667,,0.0,0.0,
2,USA,California,9476,,,,,,,,D30,HVAC,D3050,Terminal & Package Units,D3050ACO,Air Conditioner,HOL_YRD18113502,HVAC: UNIT NOT COOLING/HEATING PROPERLY,2-URGENT,2018-07-26 07:34:00,,0.0,UPM,88.51,0.0,,88.51,1.67,24.4425,28.874583333333337,1013.5,66.125,3.168333333333333,161.54166666666666,0.0,0.0,4.083333333333333
11,USA,Oklahoma,44207,SOUTH STUDENT UNION ENTRANCE WELCOME PLAZA,,,,,,,G20,Site Improvements,G2050,Landscaping,G2050LDS,General Landscaping,21-0423604,STA-PM: JAPANESE ZELKOVA [SOUTH STUDENT UNION ENTRANCE WELCOME PLAZA],,2020-07-17,,,PPM,0.0,0.0,,0.0,0.0,28.14208333333333,30.501666666666665,1015.3333333333334,71.79166666666667,4.6625000000000005,,0.0,0.0,
11,USA,Oklahoma,638,CHARLES AND LINDA CLINE EQUINE TEACHING CENTER,,,2015.0,,,,G20,Site Improvements,G2050,Landscaping,G2050LDS,General Landscaping,20-0389514,"WE NEED DUSTIN WITH SHOP SUPPORT TO COME HELP MULCH LANDSCAPING IN FRONT OF THE CLINE CENTER BEFORE HOMECOMING CELEBRATION TOMORROW.  THIS SHOULD BE MARKED AS URGENT AS THEY ARE BRINGING MULCH THIS MORNING.  THANKS,  EVIN 6062",,2019-10-21,,,UPM,0.0,124.96,,124.96,0.0,13.404583333333331,15.989583333333334,1000.625,49.0,5.166666666666668,,14.75,0.0,
3,USA,Alaska,FS930,,,,,,,,D30,HVAC,D3060,Controls and Instrumentation,D3060THE,Thermostat,UAF09-0003877,RM 100M1: COLD WATER IN SHOWERS,3-EXPEDITED,2008-08-20,,,PPM,612.0,49.39,0.0,661.39,9.0,11.507083333333332,13.451666666666668,1007.5833333333334,44.208333333333336,4.65,146.66666666666666,0.0,0.0,26.08333333333333
